condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200358,1,0,182,37,0.7297297297297297
A,2,250,0,5200359,1,0,104,21,1.0
A,2,250,0,5200368,1,0,77,16,0.875
A,2,250,0,5200369,1,0,134,27,0.6296296296296297
A,2,250,0,5200370,1,0,64,13,0.9230769230769231
A,2,250,0,5200371,1,0,125,25,0.92
A,2,250,0,5200376,1,0,117,24,0.875
A,2,250,0,5200377,1,0,64,13,0.9230769230769231
A,2,250,0,5200378,1,0,106,22,1.0
A,2,250,0,5200379,1,0,84,17,0.8823529411764706
A,2,250,0,5200348,1,0,64,13,0.8461538461538461
A,2,250,0,5200349,1,0,423,85,0.6705882352941176
A,2,250,0,5200350,1,0,131,27,0.9629629629629629
A,2,250,0,5200351,1,0,155,31,0.967741935483871
A,2,250,0,5200380,1,0,125,25,0.84
A,2,250,0,5200381,1,0,185,37,0.918918918918919
A,2,250,0,5200382,1,0,123,25,0.84
A,2,250,0,5200383,1,0,61,13,0.8461538461538461
A,2,250,0,5200364,1,0,104,21,1.0
A,2,250,0,5200365,1,0,104,21,0.9523809523809523
A,2,250,0,5200366,1,0,140,28,1.0
A,2,250,0,5200367,1,0,318,64,0.828125
A,2,250,0,5200372,1,0,293,59,0.8135593220338984
A,2,250,0,5200373,1,0,114,23,0.9130434782608695
A,2,250,0,5200374,1,0,123,25,0.92
A,2,250,0,5200375,1,0,116,24,0.9166666666666666
A,2,250,0,5200388,1,0,112,23,0.8260869565217391
A,2,250,0,5200389,1,0,201,41,0.8292682926829268
A,2,250,0,5200390,1,0,145,29,0.9310344827586207
A,2,250,0,5200391,1,0,107,22,1.0
A,2,250,0,5200400,1,0,113,23,0.9130434782608695
A,2,250,0,5200401,1,0,152,31,0.8709677419354839
A,2,250,0,5200402,1,0,122,25,0.96
A,2,250,0,5200403,1,0,62,13,0.8461538461538461
A,2,250,0,5200404,1,0,100,20,0.9
A,2,250,0,5200405,1,0,89,18,1.0
A,2,250,0,5200406,1,0,65,13,1.0
A,2,250,0,5200407,1,0,89,18,0.9444444444444444
A,2,250,0,5200408,1,0,123,25,0.76
A,2,250,0,5200409,1,0,144,29,0.9655172413793104
A,2,250,0,5200410,1,0,145,29,0.6896551724137931
A,2,250,0,5200411,1,0,126,26,0.8461538461538461
A,2,250,0,5200412,1,0,174,35,0.7714285714285715
A,2,250,0,5200413,1,0,127,26,0.8846153846153846
A,2,250,0,5200414,1,0,138,28,0.9642857142857143
A,2,250,0,5200415,1,0,111,23,0.782608695652174
A,2,250,0,5200416,1,0,152,31,0.8387096774193549
A,2,250,0,5200417,1,0,62,13,0.8461538461538461
A,2,250,0,5200418,1,0,168,34,0.8529411764705882
A,2,250,0,5200419,1,0,121,25,0.92
A,2,250,0,5200424,1,0,97,20,0.95
A,2,250,0,5200425,1,0,79,16,0.875
A,2,250,0,5200426,1,0,120,24,0.9583333333333334
A,2,250,0,5200427,1,0,98,20,0.95
A,2,250,0,5200392,0,1,600,120,0.7916666666666666
A,2,250,0,5200393,1,0,62,13,1.0
A,2,250,0,5200394,1,0,119,24,0.9583333333333334
A,2,250,0,5200395,1,0,124,25,0.96
A,2,250,0,5200384,1,0,127,26,0.9230769230769231
A,2,250,0,5200385,1,0,107,22,0.7727272727272727
A,2,250,0,5200386,1,0,135,27,0.7777777777777778
A,2,250,0,5200387,1,0,461,93,0.7419354838709677
A,2,250,0,5200396,1,0,119,24,0.9583333333333334
A,2,250,0,5200397,1,0,186,38,0.868421052631579
A,2,250,0,5200398,1,0,90,18,0.8888888888888888
A,2,250,0,5200399,0,1,600,120,1.0
A,2,250,0,5200428,1,0,132,27,1.0
A,2,250,0,5200429,1,0,56,12,1.0
A,2,250,0,5200430,1,0,97,20,0.95
A,2,250,0,5200431,1,0,103,21,1.0
A,2,250,0,5200436,1,0,66,14,0.9285714285714286
A,2,250,0,5200437,1,0,89,18,0.8888888888888888
A,2,250,0,5200438,1,0,71,15,0.9333333333333333
A,2,250,0,5200439,1,0,162,33,0.9696969696969697
A,2,250,0,5200432,1,0,86,18,0.9444444444444444
A,2,250,0,5200433,1,0,124,25,0.88
A,2,250,0,5200434,1,0,125,25,0.92
A,2,250,0,5200435,1,0,65,13,0.9230769230769231
A,2,250,0,5200420,1,0,64,13,1.0
A,2,250,0,5200421,1,0,107,22,0.9545454545454546
A,2,250,0,5200422,1,0,342,69,0.8695652173913043
A,2,250,0,5200423,1,0,112,23,0.9565217391304348
A,2,250,0,5200440,1,0,123,25,0.96
A,2,250,0,5200441,1,0,64,13,0.9230769230769231
A,2,250,0,5200442,1,0,115,23,1.0
A,2,250,0,5200443,1,0,80,16,0.8125
A,2,250,0,5200444,1,0,103,21,0.8095238095238095
A,2,250,0,5200445,0,0,110,22,0.7727272727272727
A,2,250,0,5200446,1,0,129,26,0.9615384615384616
A,2,250,0,5200447,1,0,121,25,0.96
A,2,250,0,5200448,1,0,106,22,1.0
A,2,250,0,5200449,1,0,106,22,1.0
A,2,250,0,5200450,0,0,276,56,0.8392857142857143
A,2,250,0,5200451,1,0,124,25,1.0
A,2,250,0,5200456,1,0,118,24,0.9583333333333334
A,2,250,0,5200457,1,0,117,24,0.9583333333333334
A,2,250,0,5200458,1,0,65,13,0.9230769230769231
A,2,250,0,5200459,1,0,106,22,0.9545454545454546
A,2,250,0,5200460,1,0,66,14,0.9285714285714286
A,2,250,0,5200461,1,0,81,17,0.7647058823529411
A,2,250,0,5200462,1,0,165,33,0.9090909090909091
A,2,250,0,5200463,1,0,106,22,0.8636363636363636
A,2,250,0,5200464,1,0,110,22,0.9545454545454546
A,2,250,0,5200465,1,0,107,22,1.0
A,2,250,0,5200466,1,0,125,25,0.96
A,2,250,0,5200467,1,0,107,22,1.0
A,2,250,0,5200452,1,0,136,28,0.9285714285714286
A,2,250,0,5200453,1,0,181,37,0.8108108108108109
A,2,250,0,5200454,1,0,65,13,1.0
A,2,250,0,5200455,1,0,134,27,0.9259259259259259
A,2,250,0,5200476,1,0,113,23,0.9130434782608695
A,2,250,0,5200477,1,0,167,34,0.7352941176470589
A,2,250,0,5200478,1,0,135,27,0.8518518518518519
A,2,250,0,5200479,1,0,146,30,0.8666666666666667
A,2,250,0,5200488,1,0,111,23,0.9130434782608695
A,2,250,0,5200489,1,0,101,21,0.9523809523809523
A,2,250,0,5200490,1,0,115,23,0.9565217391304348
A,2,250,0,5200491,1,0,118,24,0.875
A,2,250,0,5200468,1,0,115,23,0.5652173913043478
A,2,250,0,5200469,1,0,90,18,0.9444444444444444
A,2,250,0,5200470,1,0,109,22,1.0
A,2,250,0,5200471,1,0,321,65,0.8
A,2,250,0,5200480,1,0,116,24,0.875
A,2,250,0,5200481,1,0,115,23,0.9565217391304348
A,2,250,0,5200482,1,0,123,25,0.88
A,2,250,0,5200483,0,0,145,29,0.9655172413793104
A,2,250,0,5200484,1,0,103,21,1.0
A,2,250,0,5200485,1,0,135,27,0.9259259259259259
A,2,250,0,5200486,1,0,74,15,0.9333333333333333
A,2,250,0,5200487,1,0,175,35,0.8285714285714286
A,2,250,0,5200492,1,0,117,24,0.875
A,2,250,0,5200493,1,0,144,29,0.7241379310344828
A,2,250,0,5200494,1,0,75,15,0.8666666666666667
A,2,250,0,5200495,1,0,121,25,0.92
A,2,250,0,5200472,0,1,600,120,0.8583333333333333
A,2,250,0,5200473,1,0,101,21,0.9523809523809523
A,2,250,0,5200474,1,0,119,24,0.9583333333333334
A,2,250,0,5200475,1,0,98,20,0.95
A,2,250,0,5200496,1,0,367,74,0.918918918918919
A,2,250,0,5200497,1,0,177,36,0.8055555555555556
A,2,250,0,5200498,1,0,113,23,0.9565217391304348
A,2,250,0,5200499,1,0,69,14,1.0
A,2,250,1,5250000,1,0,112,0,0.9130434782608695
A,2,250,1,5250001,0,0,86,0,0.8888888888888888
A,2,250,1,5250002,0,0,76,0,0.75
A,2,250,1,5250003,1,0,69,0,1.0
A,2,250,1,5250012,1,0,75,0,0.8666666666666667
A,2,250,1,5250013,1,0,86,0,0.8888888888888888
