condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200072,1,0,127,26,0.9230769230769231
A,2,250,0,5200073,1,0,120,24,0.875
A,2,250,0,5200074,1,0,205,41,0.7804878048780488
A,2,250,0,5200075,1,0,116,24,0.875
A,2,250,0,5200080,1,0,162,33,1.0
A,2,250,0,5200081,1,0,120,24,0.8333333333333334
A,2,250,0,5200082,1,0,103,21,0.7142857142857143
A,2,250,0,5200083,0,0,173,35,0.7428571428571429
A,2,250,0,5200028,1,0,161,33,0.8484848484848485
A,2,250,0,5200029,1,0,126,26,0.8461538461538461
A,2,250,0,5200030,1,0,106,22,1.0
A,2,250,0,5200031,0,1,600,120,0.7166666666666667
A,2,250,0,5200092,1,0,70,14,0.9285714285714286
A,2,250,0,5200093,1,0,79,16,0.875
A,2,250,0,5200094,1,0,129,26,0.8461538461538461
A,2,250,0,5200095,1,0,64,13,0.9230769230769231
A,2,250,0,5200076,1,0,170,34,0.8529411764705882
A,2,250,0,5200077,1,0,121,25,0.92
A,2,250,0,5200078,1,0,282,57,0.8771929824561403
A,2,250,0,5200079,1,0,114,23,0.9130434782608695
A,2,250,0,5200084,1,0,128,26,0.8461538461538461
A,2,250,0,5200085,1,0,114,23,0.8695652173913043
A,2,250,0,5200086,1,0,97,20,0.95
A,2,250,0,5200087,0,0,169,34,0.9705882352941176
A,2,250,0,5200088,1,0,116,24,0.875
A,2,250,0,5200089,1,0,118,24,0.9583333333333334
A,2,250,0,5200090,1,0,126,26,0.8846153846153846
A,2,250,0,5200091,0,0,124,25,0.92
A,2,250,0,5200104,1,0,66,14,0.9285714285714286
A,2,250,0,5200105,1,0,108,22,0.7727272727272727
A,2,250,0,5200106,1,0,98,20,0.8
A,2,250,0,5200107,1,0,73,15,1.0
A,2,250,0,5200100,1,0,82,17,1.0
A,2,250,0,5200101,1,0,59,12,0.9166666666666666
A,2,250,0,5200102,1,0,117,24,0.9583333333333334
A,2,250,0,5200103,1,0,103,21,1.0
A,2,250,0,5200096,1,0,111,23,0.9565217391304348
A,2,250,0,5200097,1,0,111,23,0.9565217391304348
A,2,250,0,5200098,1,0,118,24,0.875
A,2,250,0,5200099,1,0,146,30,0.8333333333333334
A,2,250,0,5200040,1,0,118,24,0.9166666666666666
A,2,250,0,5200041,1,0,99,20,0.85
A,2,250,0,5200042,1,0,117,24,0.875
A,2,250,0,5200043,0,1,600,120,0.9166666666666666
A,2,250,0,5200112,1,0,127,26,1.0
A,2,250,0,5200113,1,0,97,20,1.0
A,2,250,0,5200114,1,0,162,33,0.6363636363636364
A,2,250,0,5200115,1,0,111,23,0.6086956521739131
A,2,250,0,5200124,1,0,63,13,0.6153846153846154
A,2,250,0,5200125,1,0,93,19,0.8947368421052632
A,2,250,0,5200126,1,0,59,12,1.0
A,2,250,0,5200127,1,0,153,31,0.8064516129032258
A,2,250,0,5200120,1,0,114,23,0.9130434782608695
A,2,250,0,5200121,1,0,104,21,0.9523809523809523
A,2,250,0,5200122,1,0,158,32,0.78125
A,2,250,0,5200123,1,0,73,15,1.0
A,2,250,0,5200128,1,0,98,20,0.95
A,2,250,0,5200129,1,0,143,29,0.8620689655172413
A,2,250,0,5200130,1,0,120,24,0.9166666666666666
A,2,250,0,5200131,1,0,104,21,0.9047619047619048
A,2,250,0,5200132,1,0,108,22,0.9545454545454546
A,2,250,0,5200133,1,0,177,36,0.7777777777777778
A,2,250,0,5200134,1,0,114,23,1.0
A,2,250,0,5200135,1,0,88,18,0.7222222222222222
A,2,250,0,5200116,1,0,122,25,0.96
A,2,250,0,5200117,1,0,114,23,0.9565217391304348
A,2,250,0,5200118,1,0,172,35,0.8571428571428571
A,2,250,0,5200119,1,0,162,33,0.9090909090909091
A,2,250,0,5200136,1,0,158,32,0.84375
A,2,250,0,5200137,1,0,135,27,0.7777777777777778
A,2,250,0,5200138,1,0,160,32,0.78125
A,2,250,0,5200139,1,0,119,24,0.8333333333333334
A,2,250,0,5200152,1,0,157,32,0.8125
A,2,250,0,5200153,1,0,104,21,0.8095238095238095
A,2,250,0,5200154,1,0,116,24,1.0
A,2,250,0,5200155,1,0,126,26,0.8461538461538461
A,2,250,0,5200148,1,0,156,32,0.90625
A,2,250,0,5200149,1,0,73,15,1.0
A,2,250,0,5200150,1,0,91,19,0.8947368421052632
A,2,250,0,5200151,0,0,187,38,0.9736842105263158
A,2,250,0,5200156,1,0,144,29,0.7931034482758621
A,2,250,0,5200157,1,0,117,24,0.9583333333333334
A,2,250,0,5200158,1,0,121,25,0.96
A,2,250,0,5200159,1,0,110,22,0.7272727272727273
A,2,250,0,5200140,1,0,250,50,0.78
A,2,250,0,5200141,1,0,69,14,0.6428571428571429
A,2,250,0,5200142,1,0,255,51,0.7058823529411765
A,2,250,0,5200143,1,0,108,22,1.0
A,2,250,0,5200164,1,0,110,22,0.8181818181818182
